iter	Passed	Remaining
0	211	211476
1	213	106535
2	217	72403
3	223	55665
4	224	44740
5	225	37435
6	227	32224
7	228	28277
8	230	25342
9	232	23032
10	234	21070
11	235	19405
12	236	17973
13	237	16759
14	239	15716
15	240	14775
16	241	13942
17	244	13352
18	282	14599
19	285	13987
20	287	13380
21	293	13069
22	296	12576
23	297	12115
24	300	11736
25	302	11322
26	304	10960
27	308	10699
28	310	10396
29	312	10108
30	314	9833
31	315	9554
32	317	9306
33	319	9065
34	349	9635
35	355	9526
36	358	9328
37	360	9121
38	372	9171
39	377	9069
40	385	9017
41	388	8854
42	389	8668
43	391	8500
44	392	8327
45	393	8165
46	394	8006
47	396	7861
48	400	7775
49	401	7632
50	403	7500
51	404	7369
52	405	7241
53	406	7120
54	407	7001
55	408	6886
56	410	6797
57	413	6720
58	415	6619
59	416	6522
60	418	6438
61	421	6377
62	422	6289
63	423	6199
64	425	6117
65	426	6031
66	427	5950
67	427	5863
68	429	5793
69	430	5718
70	431	5645
71	436	5625
72	437	5557
73	441	5523
74	443	5468
75	444	5403
76	445	5339
77	446	5280
78	452	5277
79	455	5242
80	457	5185
81	458	5138
82	460	5082
83	461	5028
84	462	4975
85	469	4992
86	471	4943
87	472	4900
88	474	4852
89	475	4804
90	476	4758
91	477	4713
92	478	4668
93	485	4679
94	486	4637
95	487	4595
96	488	4551
97	489	4508
98	490	4467
99	491	4427
100	493	4392
101	496	4368
102	497	4332
103	498	4298
104	500	4266
105	501	4230
106	502	4193
107	503	4158
108	504	4124
109	510	4129
110	512	4101
111	513	4069
112	514	4037
113	515	4004
114	516	3972
115	516	3939
116	517	3908
117	519	3880
118	520	3854
119	523	3838
120	524	3811
121	525	3783
122	526	3751
123	526	3722
124	527	3695
125	528	3667
126	529	3640
127	530	3612
128	531	3585
129	531	3559
130	534	3547
131	537	3536
132	539	3514
133	540	3491
134	541	3467
135	541	3442
136	543	3421
137	544	3398
138	544	3375
139	545	3352
140	546	3329
141	548	3315
142	551	3304
143	553	3287
144	554	3267
145	554	3245
146	555	3224
147	556	3205
148	558	3191
149	572	3241
150	573	3223
151	574	3203
152	575	3185
153	581	3194
154	583	3180
155	584	3163
156	585	3145
157	586	3127
158	588	3110
159	589	3093
160	590	3074
161	590	3056
162	595	3058
163	596	3042
164	598	3026
165	599	3010
166	600	2994
167	601	2977
168	602	2960
169	602	2943
170	603	2926
171	604	2910
172	605	2893
173	610	2897
174	611	2884
175	613	2871
176	614	2855
177	615	2840
178	615	2824
179	616	2809
180	617	2792
181	617	2777
182	618	2762
183	619	2748
184	620	2733
185	623	2730
186	626	2723
187	627	2712
188	628	2698
189	629	2684
190	630	2671
191	631	2657
192	632	2643
193	633	2630
194	633	2616
195	634	2603
196	635	2590
197	639	2588
198	641	2581
199	642	2570
200	643	2559
201	644	2546
202	645	2534
203	646	2521
204	647	2509
205	647	2497
206	648	2485
207	649	2473
208	650	2463
209	655	2465
210	656	2456
211	658	2447
212	659	2437
213	660	2426
214	662	2417
215	663	2408
216	670	2419
217	672	2413
218	674	2404
219	675	2394
220	676	2383
221	677	2373
222	678	2363
223	679	2353
224	680	2344
225	683	2341
226	685	2332
227	686	2323
228	687	2313
229	688	2303
230	689	2294
231	690	2285
232	691	2275
233	692	2266
234	697	2270
235	699	2266
236	701	2258
237	702	2250
238	704	2241
239	705	2233
240	706	2224
241	707	2214
242	709	2209
243	711	2204
244	713	2197
245	714	2188
246	715	2179
247	715	2170
248	716	2161
249	717	2152
250	718	2143
251	719	2134
252	720	2126
253	720	2117
254	721	2108
255	728	2115
256	729	2109
257	730	2101
258	731	2092
259	732	2084
260	733	2075
261	733	2067
262	734	2058
263	735	2050
264	736	2042
265	739	2041
266	742	2038
267	743	2031
268	744	2023
269	745	2015
270	746	2007
271	747	1999
272	747	1991
273	748	1983
274	749	1976
275	750	1968
276	751	1961
277	755	1962
278	757	1956
279	758	1950
280	759	1943
281	760	1935
282	761	1928
283	761	1921
284	762	1913
285	763	1906
286	764	1899
287	765	1892
288	766	1885
289	769	1884
290	771	1880
291	773	1874
292	774	1868
293	774	1861
294	775	1854
295	776	1847
296	777	1840
297	778	1834
298	779	1828
299	780	1822
300	782	1816
301	784	1814
302	786	1809
303	787	1803
304	788	1796
305	789	1790
306	790	1784
307	791	1778
308	792	1771
309	793	1765
310	794	1759
311	798	1760
312	800	1757
313	801	1751
314	802	1745
315	803	1738
316	804	1732
317	805	1727
318	806	1721
319	807	1714
320	807	1708
321	808	1702
322	809	1696
323	814	1699
324	816	1696
325	817	1690
326	818	1684
327	819	1679
328	820	1673
329	821	1667
330	822	1661
331	822	1655
332	823	1649
333	824	1644
334	829	1645
335	831	1642
336	832	1637
337	833	1631
338	834	1626
339	835	1621
340	836	1615
341	836	1610
342	837	1604
343	838	1599
344	839	1593
345	843	1593
346	844	1589
347	845	1584
348	846	1579
349	848	1575
350	849	1570
351	850	1565
352	850	1559
353	851	1554
354	852	1548
355	853	1543
356	854	1538
357	858	1540
358	860	1535
359	861	1530
360	862	1526
361	863	1521
362	863	1515
363	864	1510
364	865	1505
365	866	1500
366	867	1495
367	867	1490
368	868	1485
369	872	1485
370	874	1482
371	875	1477
372	876	1473
373	877	1468
374	878	1463
375	878	1458
376	879	1453
377	880	1448
378	881	1444
379	882	1439
380	882	1434
381	883	1429
382	887	1429
383	889	1426
384	890	1422
385	891	1418
386	892	1414
387	893	1409
388	894	1405
389	895	1401
390	896	1396
391	897	1392
392	898	1388
393	901	1387
394	904	1384
395	905	1380
396	907	1377
397	908	1374
398	910	1370
399	916	1375
400	918	1371
401	920	1369
402	922	1365
403	923	1362
404	924	1358
405	925	1354
406	926	1350
407	933	1353
408	934	1350
409	935	1346
410	936	1342
411	937	1338
412	938	1334
413	939	1330
414	940	1326
415	942	1322
416	947	1324
417	948	1321
418	950	1317
419	951	1313
